,DC,DATE,FM.NO,PRODUCT,Customer,No of Articles,actual,RATE,AIR SUR,TAX RATE,Postage,Postage Franked,ST,Tax 18%,TAX ON SC18%,S.charge,SC Per article,Weight
15,129,07.12.2023,P850983,ORD,CAMS HSBC,259,5,5,,1.0,1295,1554.0,259.0,233.1,32.63399999999999,181.29999999999998,0.7,yes
16,129,05.12.2023,P850642,SPEED,CAMS HSBC,38,35,41,,,1330,1558.0,228.0,239.39999999999998,9.575999999999999,53.199999999999996,1.4,yes
17,129,07.12.2023,P850642,SPEED,CAMS HSBC,3,35,41,,,105,123.0,18.0,18.9,0.7559999999999999,4.199999999999999,1.4,no
18,129,06.12.2023,P850642,SPEED,CAMS HSBC,1,35,41,,,35,41.0,6.0,6.3,0.252,1.4,1.4,no
19,129,08.12.2023,P850968,ORD,CAMS HSBC,25,5,5,,1.0,125,150.0,25.0,22.5,3.15,17.5,0.7,no
20,129,08.12.2023,P850968,ORD,CAMS HSBC,852,5,5,,1.0,4260,5112.0,852.0,766.8,107.35199999999999,596.4,0.7,no
21,129,09.12.2023,P850478,ORD,CAMS HSBC,1000,5,5,,1.0,5000,6000.0,1000.0,900.0,126.0,700.0,0.7,no
22,129,09.12.2023,P850478,ORD,CAMS HSBC,1,10,10,,2.0,10,12.0,2.0,1.7999999999999998,0.126,0.7,0.7,no
23,129,09.12.2023,P850983,FREG,CAMS HSBC,8,179,179,,31.5,1432,1684.0,252.0,257.76,2.016,11.2,1.4,no
24,129,09.12.2023,P850983,FREG,CAMS HSBC,2,180,180,,31.5,360,423.0,63.0,64.8,0.504,2.8,1.4,no
25,129,09.12.2023,P850983,FREG,CAMS HSBC,9,190,190,,33.0,1710,2007.0,297.0,307.8,2.268,12.6,1.4,no
26,129,09.12.2023,P850968,ORD,CAMS HSBC,8,5,5,,1.0,40,48.0,8.0,7.199999999999999,1.008,5.6,0.7,no
27,129,09.12.2023,P850968,ORD,CAMS HSBC,1,10,10,,2.0,10,12.0,2.0,1.7999999999999998,0.126,0.7,0.7,no
28,129,09.12.2023,P850968,ORD,CAMS HSBC,2189,5,5,,1.0,10945,13134.0,2189.0,1970.1,275.81399999999996,1532.3,0.7,no
29,129,09.12.2023,P850968,ORD,CAMS HSBC,1817,5,5,,1.0,9085,10902.0,1817.0,1635.3,228.94199999999998,1271.8999999999999,0.7,no
30,129,08.12.2023,P850642,SPEED,CAMS HSBC,1,35,41,,,35,41.0,6.0,6.3,0.252,1.4,1.4,no
31,129,11.12.2023,P850642,SPEED,CAMS HSBC,22,35,41,,,770,902.0,132.0,138.6,5.544,30.799999999999997,1.4,no
